BIA,IDR - or value,Example
,,
These sections should be auto-generated taken from the IDR OMERO JSON API.,,
,,
bia:Study@id,./,./
bia:Study.name,<Study name>,idr0027-dickerson-chromatin/experimentA
bia:Study.description,<Study description>,"Publication Title\nHigh resolution imaging reveals heterogeneity in chromatin states between cells that is not inherited through cell division.\n\nExperiment Description\nTo monitor the organisation of chromatin in live cells were engineered with fluorescent fusion proteins which recognize specific operator sequences to tag pairs of syntenic gene loci. The separation of these loci was then tracked in three dimensions over time using fluorescence microscopy. Data generated for this manuscript are made accessible here. This includes the movies generated from yeast strains with different genomic separations. These are available within subfolders titled \""Colocalising\"", \""Genomic separation 100kb\"", \""Genomic separation 25kb\"" etc. Tracking data generated from these movies is also available as idr0027-AnalysisAllData.csv in the Attachments section below. This includes x, y and z co-ordinates of foci in the red and green channels following two stages of correction for channel alignment, the distance between the red and green foci in nanometers,  the offset of the red channel foci with respect to the green channel foci in x, y, and z. The maximum intensity, background intensity and standard deviation of the background intensity for both the red and green channels. The contrast (maximum spot intensity - nuclear background intensity) for each channel. The name originally assigned to the video, the genomic separation of the strain in kb. The string in column AE starts with the letter assigned to the video in supplementary figure 2. Some videos include two cells. In these cases the higher cell (on the y axis) is indicated as \""upper\"" and the other as \""lower\"". One of the two cells can often be assigned as the mother and the other as daughter. This is indicated as m or d in column AF. The systematic name of the strain is indicated in column AG.\n\nStudy Description\nWe established a work flow for measuring the distance between two fluorescently tagged, syntenic gene loci with a mean measurement error of 63 nm.  In general, physical separation was observed to increase with increasing genomic separations.  However, the extent to which chromatin is compressed varies for different genomic regions. No correlation was observed between compaction and the distribution of chromatin markers from genomic datasets or with contacts identified using capture based approaches. Variation in spatial separation was also observed within cells over time and between cells.  Differences in the conformation of individual loci can persist for minutes in individual cells. Separation of reporter loci was found to be similar in related and unrelated daughter cell pairs."
bia:Study.license,<License>,https://creativecommons.org/licenses/by/4.0/
bia:Study.datePublished,<Release Date>,2016-11-01
bia:Study.accessionId,Derived from IDR ID,IDR0027A
bia:Study.hasPart, -> Datasets (list of ids),"#dataset-408, #dataset-409, …"
,,
,,
bia:Dataset@id,<OMERO Dataset ID> or <OMERO Plate ID>,#dataset-408
bia:Dataset.name,<Dataset Name>,Colocalising
bia:Dataset.associatedBiologicalEntity,-> bia:BioSample,#biosample-1
bia:Dataset.associatedSpecimenImagingPreparationProtocol,-> bia:SpecimenImagingPreparationProtocol,#imaging-preparation-protocol-1
bia:Dataset.associatedImageAcquisitionProtocol,-> bia:ImageAcquisitionProtocol,#image-acquisition-protocol-1
,,
,,
bia:BioSample@id,Generate,#biosample-1
bia:BioSample.name,<Organism Name>,Saccharomyces cerevisiae
bia:BioSample.description,<Organism Name>,Saccharomyces cerevisiae
bia:BioSample.organismClassification,-> bia:Taxon,NCBI:txid4932
,,
,,
bia:Taxon@id,NCBI:<tax ID> (lookup from NCBI?),NCBI:txid4932
