file_path	size_in_bytes	dataset	type	image_type	description
Colocalising/aaa_upper_rr_lower.ome.zarr.zip	64801832	#Dataset-408	http://bia/Image	raw	
Colocalising/aaa_upper_rr_lower_ALX.ome.zarr.zip	130244616	#Dataset-408	http://bia/Image	derived	Chromatic Aberration Shifts: 528:0.0000 608:-0.2500
Colocalising/b_lower.ome.zarr.zip	79416066	#Dataset-408	http://bia/Image	raw	
Colocalising/b_lower_ALX.ome.zarr.zip	165447363	#Dataset-408	http://bia/Image	derived	Chromatic Aberration Shifts: 528:0.0000 608:-0.2500
Colocalising/bb_upper_aa_lower.ome.zarr.zip	64670632	#Dataset-408	http://bia/Image	raw	
Colocalising/bb_upper_aa_lower_ALX.ome.zarr.zip	145194942	#Dataset-408	http://bia/Image	derived	Chromatic Aberration Shifts: 528:0.0000 608:-0.1250
Colocalising/dd_lower.ome.zarr.zip	64437033	#Dataset-408	http://bia/Image	raw	
Colocalising/dd_lower_ALX.ome.zarr.zip	140654339	#Dataset-408	http://bia/Image	derived	Chromatic Aberration Shifts: 528:0.0000 608:-0.2000
Colocalising/e_upper_h_lower.ome.zarr.zip	64592181	#Dataset-408	http://bia/Image	raw	
Colocalising/e_upper_h_lower_ALX.ome.zarr.zip	133399289	#Dataset-408	http://bia/Image	derived	Chromatic Aberration Shifts: 528:0.0000 608:-0.2500
Colocalising/f_upper_d_lower.ome.zarr.zip	64620373	#Dataset-408	http://bia/Image	raw	
Colocalising/f_upper_d_lower_ALX.ome.zarr.zip	133832817	#Dataset-408	http://bia/Image	derived	Chromatic Aberration Shifts: 528:0.0000 608:-0.2500
Colocalising/ff_upper_ee_lower.ome.zarr.zip	64752206	#Dataset-408	http://bia/Image	raw	
Colocalising/ff_upper_ee_lower_ALX.ome.zarr.zip	141639630	#Dataset-408	http://bia/Image	derived	Chromatic Aberration Shifts: 528:0.0000 608:-0.2000
Colocalising/g_upper_c_lower.ome.zarr.zip	79815576	#Dataset-408	http://bia/Image	raw	
Colocalising/g_upper_c_lower_ALX.ome.zarr.zip	164479110	#Dataset-408	http://bia/Image	derived	Chromatic Aberration Shifts: 528:0.0000 608:-0.2500
Colocalising/gg_upper_cc_lower.ome.zarr.zip	64737039	#Dataset-408	http://bia/Image	raw	
Colocalising/gg_upper_cc_lower_ALX.ome.zarr.zip	140722513	#Dataset-408	http://bia/Image	derived	Chromatic Aberration Shifts: 528:0.0000 608:-0.2000
Colocalising/i_upper_a_lower.ome.zarr.zip	79799948	#Dataset-408	http://bia/Image	raw	
Colocalising/i_upper_a_lower_ALX.ome.zarr.zip	167008954	#Dataset-408	http://bia/Image	derived	Chromatic Aberration Shifts: 528:0.0000 608:-0.2500
Colocalising/ii_upper_hh_lower.ome.zarr.zip	64633625	#Dataset-408	http://bia/Image	raw	
